address,city,state,zip_code,price,bedrooms,bathrooms,square_feet,listing_date,latitude,longitude,url,walkscore,transit_score,bike_score,walkscore_error,median_income,population,white_pop,black_pop,asian_pop,hispanic_pop,competition_density,population_density_proxy,diversity_index,affordability_index,price_per_sqft,affordability_ratio,rent_premium
3500 Marguerite St,Los Angeles,CA,90065,4100.0,3.0,2.0,1250.0,1970-01-01,34.117657,-118.23704,https://www.zillow.com/homedetails/20758554_zpid/,81.0,50.0,40.0,,80386.0,46432.0,18605.0,889.0,6628.0,25339.0,1,46432.0,0.5208882700114195,19.606341463414637,3.28,0.6120468738337521,1477.5
4232 Lindblade Dr APT 12,Los Angeles,CA,90066,2995.0,3.0,2.0,800.0,1970-01-01,33.997,-118.423096,https://www.zillow.com/homedetails/2082274102_zpid/,85.0,52.0,92.0,,90983.0,54913.0,33260.0,2742.0,7985.0,14950.0,4,13728.25,0.53538786430103,30.37829716193656,3.74375,0.39501884967521406,372.5
8923 Menlo Ave,Los Angeles,CA,90044,3500.0,5.0,3.0,1800.0,1970-01-01,33.955856,-118.29073,https://www.zillow.com/homedetails/20951114_zpid/,74.0,60.0,63.0,,43388.0,100225.0,22203.0,30662.0,649.0,66943.0,1,100225.0,0.4111609663490371,12.396571428571429,1.9444444444444444,0.9680095879044898,877.5
6031 Cahuenga Blvd APT 3,North Hollywood,CA,91606,2195.0,2.0,1.0,900.0,1970-01-01,34.180416,-118.36192,https://www.zillow.com/homedetails/456237928_zpid/,75.0,44.0,66.0,,57146.0,43381.0,25449.0,2053.0,1828.0,22627.0,1,43381.0,0.3797852166518927,26.03462414578588,2.438888888888889,0.46092464914429704,-427.5
2572 S Centinela Ave APT 5,Los Angeles,CA,90064,2300.0,1.0,1.0,850.0,1970-01-01,34.02412,-118.44926,https://www.zillow.com/homedetails/2081438481_zpid/,74.0,54.0,83.0,,109357.0,25161.0,15722.0,605.0,5149.0,3631.0,2,12580.5,0.546272948517339,47.546521739130434,2.7058823529411766,0.25238439240286403,-322.5
3675 Dunn Dr APT 305,Los Angeles,CA,90034,5037.0,3.0,3.0,1178.0,1970-01-01,34.025322,-118.40169,https://www.zillow.com/homedetails/2083318860_zpid/,89.0,62.0,87.0,,88490.0,53321.0,25577.0,5050.0,10840.0,13887.0,5,10664.2,0.6517780995083579,17.567996823506054,4.275891341256367,0.6830602327946661,2414.5
7010 Lanewood Ave APT 205,Los Angeles,CA,90028,2795.0,2.0,2.0,850.0,1970-01-01,34.098885,-118.341774,https://www.zillow.com/homedetails/2061574567_zpid/,98.0,65.0,59.0,,52814.0,29887.0,15755.0,2733.0,3482.0,8797.0,1,29887.0,0.6135376365709664,18.895885509839,3.288235294117647,0.6350588859014655,172.5
15240 Nordhoff St #35605,North Hills,CA,91343,1695.0,1.0,1.0,800.0,1970-01-01,34.23517,-118.46474,https://www.zillow.com/homedetails/443264688_zpid/,69.0,49.0,59.0,,71380.0,64519.0,22154.0,2844.0,8650.0,39515.0,2,32259.5,0.4870768782493018,42.11209439528024,2.11875,0.28495376856262256,-927.5
3712 S Bentley Ave APT 204,Los Angeles,CA,90034,4295.0,3.0,2.0,,1970-01-01,34.015556,-118.41684,https://www.zillow.com/homedetails/2083275750_zpid/,80.0,56.0,81.0,,88490.0,53321.0,25577.0,5050.0,10840.0,13887.0,5,10664.2,0.6517780995083579,20.60302677532014,,0.5824386936376992,1672.5
1819 S Manhattan Pl APT 10,Los Angeles,CA,90019,2500.0,2.0,2.0,,1970-01-01,34.041138,-118.310555,https://www.zillow.com/homedetails/456237859_zpid/,86.0,57.0,60.0,,61616.0,61061.0,19471.0,10822.0,10762.0,26817.0,4,15265.25,0.6429590886888494,24.6464,,0.4868865229810439,-122.5
